capital_gain,capital_loss,hours_pw,gender,income_bracket,age,country_name,education,ethnicity,relationship_role,marital_relationship,marriage_status,work_class,occupation
0-9K,0-1K,40-49,M,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,State-gov,Adm-clerical
0-9K,0-1K,30-39,M,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,State-gov,Adm-clerical
0-9K,0-1K,60-69,F,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,State-gov,Adm-clerical
0-9K,0-1K,30-39,M,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,State-gov,Adm-clerical
0-9K,0-1K,40-49,M,<=50K,40-49,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,State-gov,Adm-clerical
0-9K,0-1K,40-49,F,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,State-gov,Adm-clerical
0-9K,0-1K,40-49,F,>50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,State-gov,Adm-clerical
0-9K,0-1K,40-49,M,<=50K,40-49,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,State-gov,Adm-clerical
0-9K,0-1K,40-49,M,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,State-gov,Adm-clerical
0-9K,0-1K,40-49,F,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,State-gov,Adm-clerical
0-9K,0-1K,30-39,F,<=50K,40-49,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,State-gov,Adm-clerical
0-9K,0-1K,40-49,M,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,State-gov,Adm-clerical
0-9K,0-1K,80-89,F,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,State-gov,Adm-clerical
0-9K,0-1K,40-49,M,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Self-emp-not-inc,Exec-managerial
90-99K,0-1K,20-29,M,>50K,70-79,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Self-emp-not-inc,Exec-managerial
0-9K,0-1K,50-59,M,<=50K,40-49,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Self-emp-not-inc,Exec-managerial
0-9K,0-1K,60-69,F,<=50K,50-59,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Self-emp-not-inc,Exec-managerial
0-9K,0-1K,40-49,F,<=50K,40-49,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Self-emp-not-inc,Exec-managerial
10-19K,0-1K,30-39,M,>50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Self-emp-not-inc,Exec-managerial
0-9K,0-1K,50-59,M,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Self-emp-not-inc,Exec-managerial
0-9K,0-1K,40-49,M,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Handlers-cleaners
0-9K,0-1K,40-49,M,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Handlers-cleaners
0-9K,0-1K,40-49,M,<=50K,40-49,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Handlers-cleaners
0-9K,0-1K,30-39,M,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Handlers-cleaners
0-9K,2-3K,40-49,M,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Handlers-cleaners
0-9K,0-1K,40-49,M,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Handlers-cleaners
0-9K,0-1K,40-49,F,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,M,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,F,<=50K,40-49,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,M,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,F,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,M,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,F,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,M,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,M,<=50K,40-49,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,F,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,50-59,F,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,M,<=50K,40-49,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,50-59,M,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,F,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,50-59,M,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,F,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,M,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,M,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,M,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,F,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,20-29,F,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,F,>50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,50-59,F,<=50K,50-59,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,1-2K,40-49,M,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,50-59,F,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,M,>50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,F,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,M,<=50K,50-59,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,60-69,F,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,M,>50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,50-59,M,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,50-59,M,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,F,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,50-59,M,>50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,50-59,M,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,M,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,M,>50K,40-49,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,F,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,M,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,M,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,40-49,F,<=50K,30-39,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
0-9K,0-1K,50-59,M,<=50K,20-29,United-States,Bachelors,White,Not-in-family,Never-married,Not Married,Private,Prof-specialty
